Categoria,Sub categoria 1,Sub categoria 2,OEM,FRAM,Tecfil,Wega,Mann,Mahle,Wix
Motor,Filtro,Filtro de Aire,,CA10755,,JFA0993,,LX2872,
Motor,Filtro,Filtro de Aire,,CA10760,,FAP9284,C2830,,
Motor,Filtro,Filtro de Aire,,CA10767,,JFA0W03,C2214,LX2690,
Motor,Filtro,Filtro de Aire,,CA10822,,WR212,C15008,LX2831,
Motor,Filtro,Filtro de Aire,,CA10878,,JFA0W07,C3210,LX2813,WA9668
Motor,Filtro,Filtro de Aire,,CA10879,ARL8828,,C26106,LX2882,WA9654
Motor,Filtro,Filtro de Aire,,CA10880,,,C27107,LX2881,WA9653
Motor,Filtro,Filtro de Aire,,CA10888,,FAP8998,,,
Motor,Filtro,Filtro de Aire,,CA10889,,,C26013,LX2869,WA9710
Motor,Filtro,Filtro de Aire,,CA10894,ARS5376,WAP131,C27109,LX3560,
Motor,Filtro,Filtro de Aire,,CA10894SY,ASR376,,CF15004,LXS362,
Motor,Filtro,Filtro de Aire,,CA10910,ARL9682,JFA0584,C25654,LX4431,
Motor,Filtro,Filtro de Aire,,CA10947,,FAP4062,C2567,LX1617,
Motor,Filtro,Filtro de Aire,,CA10994,,FAP9285,C27125,LX2787,
Motor,Filtro,Filtro de Aire,,CA10997,ART9613,FAP9296,C17021/3,LX2633,WA11234
Motor,Filtro,Filtro de Aire,,CA11048,ARS9992,,,,
Motor,Filtro,Filtro de Aire,,CA11070,,WR369,,LX2049/4,
Motor,Filtro,Filtro de Aire,,CA11071,,JFA0W13,C36013,LX3152,
Motor,Filtro,Filtro de Aire,,CA11072,,FAP4892,C3585,LX2995,WA9663
Motor,Filtro,Filtro de Aire,,CA11073,ARL5140,FAP3271/4,C30011,LX1883,WA9670
Motor,Filtro,Filtro de Aire,,CA11077,ARS2870,WR295,C16010/1,LX3679,
Motor,Filtro,Filtro de Aire,,CA11096,,FAP6013,C36003,LX2033,WA9689
Motor,Filtro,Filtro de Aire,,CA11104,ARL4152,FAP9054,C29003/1,LX3115,WA10506
Motor,Filtro,Filtro de Aire,,CA11109,ARL4146,FAP5308,C38004,,WA49048
Motor,Filtro,Filtro de Aire,,CA11112,ARL4154,FAP9121,C37001/1,LX3355,WA10455
Motor,Filtro,Filtro de Aire,,CA11113,ARL1037,JFA0438,C24021,LX4241,WA9781
Motor,Filtro,Filtro de Aire,,CA11123,,WAP384,C27902,LX2082/1,WA10068
Motor,Filtro,Filtro de Aire,,CA11124,,,C372680/3,,42847
Motor,Filtro,Filtro de Aire,,CA11124SY,,,CF23550/2,,42848
Motor,Filtro,Filtro de Aire,,CA11144,,WAP272,C261100,LX2109,WA10445
Motor,Filtro,Filtro de Aire,,CA11188,,FAP5309,C36006/1,LX3465,
Motor,Filtro,Filtro de Aire,,CA11198,,WR109,C15007,LX3286,
Motor,Filtro,Filtro de Aire,,CA11201,,JFA0H22,C27014,LX2963,WA9750
Motor,Filtro,Filtro de Aire,,CA11206,,JFA0H27,,LX3300,
Motor,Filtro,Filtro de Aire,,CA11210,,FAP9289,C68001,LX2067,
Motor,Filtro,Filtro de Aire,,CA11222,ARL8829,FAP3269,C24028/1,LX1997,WA48555
Motor,Filtro,Filtro de Aire,,CA11250,,,C29005,,
Motor,Filtro,Filtro de Aire,,CA11258,ARL1048,JFA0439,,,
Motor,Filtro,Filtro de Aire,,CA11263,,JFA0892,,LX3028,
Motor,Filtro,Filtro de Aire,,CA11305,,FAP9066,C24025,LX2077/3,WA10005
Motor,Filtro,Filtro de Aire,,CA11345,,WAP714,C25710/3,,
Motor,Filtro,Filtro de Aire,,CA11411,,FAP9292,C27004,LX3477,WA9764
Motor,Filtro,Filtro de Aire,,CA11416,,FAP1003,C1428,LX3107,
Motor,Filtro,Filtro de Aire,,CA11417,,FAP1001,C1315,LX3106,
Motor,Filtro,Filtro de Aire,,CA11426,,FAP4042,C17008,LX3536,WA9787
Motor,Filtro,Filtro de Aire,,CA11458,ARL6071,FAP3288,C29015,LX3306,WA9744
Motor,Filtro,Filtro de Aire,,CA11493,ARL2204,FAP4043,C34007,LX4163,WA10476
Motor,Filtro,Filtro de Aire,,CA11499,ARL6077,FAP9065,C30005,LX3503,WA9759
Motor,Filtro,Filtro de Aire,,CA11500,ARL419,JFA0H32,,,
Motor,Filtro,Filtro de Aire,,CA11501,ARL8877,FAP3270,C24012,LX3579,WA10255
Motor,Filtro,Filtro de Aire,,CA11503,ARL6074,FAP3285,C27009,LX3525,WA9766
Motor,Filtro,Filtro de Aire,,CA11504,,FAP4812/2,C32108,LX3284,
Motor,Filtro,Filtro de Aire,,CA11652,,,C33006,LX2061/1,WA9754
Motor,Filtro,Filtro de Aire,,CA11654,ARL5144,FAP9299,C27030,LX3542,WA9830
Motor,Filtro,Filtro de Aire,,CA11674,ARS7994,WR191,C22024,LX3458,WA9763
Motor,Filtro,Filtro de Aire,,CA11674,ARS7994,WR191,C22024,LX3458,WA9763
Motor,Filtro,Filtro de Aire,,CA11759,,,C28004,LX3811,
Motor,Filtro,Filtro de Aire,,CA11863,AR1018,JFA0K14,C16007,LX2689,
Motor,Filtro,Filtro de Aire,,CA11864,ART9615,,C18103,,
Motor,Filtro,Filtro de Aire,,CA11874,,FAP7002,C40002,LX3603,WA9767
Motor,Filtro,Filtro de Aire,,CA11897,,FAP4894,C29110,LX3754,
Motor,Filtro,Filtro de Aire,,CA11949,ARL1047,JFA0444,,,
Motor,Filtro,Filtro de Aire,,CA11952,,FAP4041,,LX4248,
Motor,Filtro,Filtro de Aire,,CA11974,ARS1184/1,WAP112,C31014,LX3534,WA10856
Motor,Filtro,Filtro de Aire,,CA11974SY,,WAP112/S,CF17007,,93911E
Motor,Filtro,Filtro de Aire,,CA12003,ARL1655,JFA0135,C23021,LX3487,WA11065A
Motor,Filtro,Filtro de Aire,,CA12004,,,C26007,,
Motor,Filtro,Filtro de Aire,,CA12006,,,,,
Motor,Filtro,Filtro de Aire,,CA12017,ARL6076,FAP3599,C22035,LX4246,WA9811
Motor,Filtro,Filtro de Aire,,CA12021,,FAP4070,C36007,LX3955,WA9799
Motor,Filtro,Filtro de Aire,,CA12025,,FAP2848,C25008/1,LX4065,
Motor,Filtro,Filtro de Aire,,CA12034,,FAP4058,C24017,LX1631,
Motor,Filtro,Filtro de Aire,,CA12050,ARL1042,JFA0426,,,
Motor,Filtro,Filtro de Aire,,CA12051,ARL1043,JFA0405,,,
Motor,Filtro,Filtro de Aire,,CA12052,ARL1040,JFA0440,,,
Motor,Filtro,Filtro de Aire,,CA12055,ARL2206,JFA0282,C33017,LX4757,WA10550
Motor,Filtro,Filtro de Aire,,CA12066,ARL4157,JFA0998,,LX4365,WA9804
Motor,Filtro,Filtro de Aire,,CA12097,ARL5135,FAP5218,,LX5342,
Motor,Filtro,Filtro de Aire,,CA12104,ARL6080,FAP2219,,LX2876/1,
Motor,Filtro,Filtro de Aire,,CA12112,ASR8843,WR150,C16012,LX3015/14,
Motor,Filtro,Filtro de Aire,,CA12172,,,,,
Motor,Filtro,Filtro de Aire,,CA12173,,,,,
Motor,Filtro,Filtro de Aire,,CA12174,,JFA0F08,,,
Motor,Filtro,Filtro de Aire,,CA12180,,FAP8001/1,C21001,,WA9875
Motor,Filtro,Filtro de Aire,,CA12242,,FAP2837,,LX4333,
Motor,Filtro,Filtro de Aire,,CA12243,,JFA0579,C26032,,
Motor,Filtro,Filtro de Aire,,CA12289,ARL2220,FAP4059,C27063,LX4529,WA9879
Motor,Filtro,Filtro de Aire,,CA12315,ARL1659,JFA0137,,,
Motor,Filtro,Filtro de Aire,,CA12342,ARL4161,FAP2829,C30904,LX4547,WA11150
Motor,Filtro,Filtro de Aire,,CA12344,ARL4160,FAP2802,C30100,LX5208,WA11149
Motor,Filtro,Filtro de Aire,,CA12363,,,,LX4759,
Motor,Filtro,Filtro de Aire,,CA12376,,,,,
Motor,Filtro,Filtro de Aire,,CA12430,ART9618,FAP7019,C22031/1,LX5525,WA11228
Motor,Filtro,Filtro de Aire,,CA12561,,FAP4895,C37012,,
Motor,Filtro,Filtro de Aire,,CA12583,,FAP4811,,,
Motor,Filtro,Filtro de Aire,,CA12609,ART8860,FAP3233,C23023,,
Motor,Filtro,Filtro de Aire,,CA1532SYES,,,,,
Motor,Filtro,Filtro de Aire,,CA1533,,,,,
Motor,Filtro,Filtro de Aire,,CA1533SY,,,,,
Motor,Filtro,Filtro de Aire,,CA1544SY,,,,,
Motor,Filtro,Filtro de Aire,,CA1548,,,,,
Motor,Filtro,Filtro de Aire,,CA1548SY,,,,,
Motor,Filtro,Filtro de Aire,,CA1553,,,,,
Motor,Filtro,Filtro de Aire,,CA1553SY,,,,,
Motor,Filtro,Filtro de Aire,,CA1566EE,,WR100,C1241,,WA10457
Motor,Filtro,Filtro de Aire,,CA1569,,,,,
Motor,Filtro,Filtro de Aire,,CA1596ASY,,,,,
Motor,Filtro,Filtro de Aire,,CA1596,,,,,
Motor,Filtro,Filtro de Aire,,CA160,,WR760,,,
Motor,Filtro,Filtro de Aire,,CA192,,WR298,,,
Motor,Filtro,Filtro de Aire,,CA216,,,,,
Motor,Filtro,Filtro de Aire,,CA224,,,C24444,,
Motor,Filtro,Filtro de Aire,,CA226,,,C29624,,
Motor,Filtro,Filtro de Aire,,CA226SY,,,C16140,,
Motor,Filtro,Filtro de Aire,,CA233,,,,,
Motor,Filtro,Filtro de Aire,,CA236,,,C16140,,
Motor,Filtro,Filtro de Aire,,CA237,,,C1371,,
Motor,Filtro,Filtro de Aire,,CA2517,,,,,
Motor,Filtro,Filtro de Aire,,CA2517SY,,,,,
Motor,Filtro,Filtro de Aire,,CA253SY,,,,,
Motor,Filtro,Filtro de Aire,,CA2590,,,,,
Motor,Filtro,Filtro de Aire,,CA2718EE,,WR213,,,
Motor,Filtro,Filtro de Aire,,CA273,,,,,
Motor,Filtro,Filtro de Aire,,CA283A,AP7998,WAP285,C17308/1,,WA11233
Motor,Filtro,Filtro de Aire,,CA283BPU,,WAP286,,,
Motor,Filtro,Filtro de Aire,,CA3105,AP1004,JFA0514/1,C13114/4,LX200,WA46415
Motor,Filtro,Filtro de Aire,,CA3105,AP1004,,C13114/4,LX200,WA46415
Motor,Filtro,Filtro de Aire,,CA3105SY,AS801,WAP139/S,CF600,LXS40/1,WA49415
Motor,Filtro,Filtro de Aire,,CA3115,,WR347,C13114/7,,
Motor,Filtro,Filtro de Aire,,CA3154EE,,WR275,C1380,LX290,
Motor,Filtro,Filtro de Aire,,CA3164EE,,,,,
Motor,Filtro,Filtro de Aire,,CA3167EE,,WR256,,,
Motor,Filtro,Filtro de Aire,,CA3174B,,,C1468,,
Motor,Filtro,Filtro de Aire,,CA324A,,,,,
Motor,Filtro,Filtro de Aire,,CA3273,,,,,
Motor,Filtro,Filtro de Aire,,CA3280,AP46501,WAP165,C24650/1,LX271,WA42608
Motor,Filtro,Filtro de Aire,,CA3280SY,AS840,WAP106/S,CF1300,LXS43/1,WA42609
Motor,Filtro,Filtro de Aire,,CA3290,AP4650,WAP183,C24650,LX241,
Motor,Filtro,Filtro de Aire,,CA3291,AP9834,WAP163,C20325/2,LX265,WA46554
Motor,Filtro,Filtro de Aire,,CA3291,AP9834,,C20325/2,LX265,WA46554
Motor,Filtro,Filtro de Aire,,CA3291SY,AS820,WAP187/S,CF1000,LXS37/1,WA46525
Motor,Filtro,Filtro de Aire,,CA3295,AP7108,WAP211,C15165/3,LX275,WA46430
Motor,Filtro,Filtro de Aire,,CA3295,AP7108,WAP211,C15165/3,LX275,WA46430
Motor,Filtro,Filtro de Aire,,CA3295SY,AS805,WAP139/S,CF700,LXS5/1,WA49616
Motor,Filtro,Filtro de Aire,,CA3333EE,AR9620,WR201,C2852/2,LX208,WA6383
Motor,Filtro,Filtro de Aire,,CA335PL,,,,,
Motor,Filtro,Filtro de Aire,,CA3399,,,C22117,LX220,
Motor,Filtro,Filtro de Aire,,CA352EE,,JFA0101,,LX1,
Motor,Filtro,Filtro de Aire,,CA353,,JFA0102,,LX67,
Motor,Filtro,Filtro de Aire,,CA3559,,,,LX573,
Motor,Filtro,Filtro de Aire,,CA3588,,,,,
Motor,Filtro,Filtro de Aire,,CA3660,,FAP3231,C2860,LX259,46133
Motor,Filtro,Filtro de Aire,,CA3901,,FAP3218,C3594/1,LX577,
Motor,Filtro,Filtro de Aire,,CA3902,,WR200/10,,,
Motor,Filtro,Filtro de Aire,,CA3914,ARL8841,FAP3266,C41135,LX1316,
Motor,Filtro,Filtro de Aire,,CA3914,ARL8841,,C41135,LX1316,
Motor,Filtro,Filtro de Aire,,CA3943,,,,LX425,
Motor,Filtro,Filtro de Aire,,CA3989,,,,,
Motor,Filtro,Filtro de Aire,,CA4202,AP2710,WAP162,C17225/3,LX236,WA46515
Motor,Filtro,Filtro de Aire,,CA4202,,,C17225/3,LX236,WA46515
Motor,Filtro,Filtro de Aire,,CA4202SY,AS810,WAP186/S,CF800,LXS41/1,WA46532
Motor,Filtro,Filtro de Aire,,CA4215,AP9835,WAP277,C30850/2,LX273,WA46741
Motor,Filtro,Filtro de Aire,,CA4221,AP1185,WAP180,C30880/2,LX450,WA42576
